term1,term2,relation
Casa de Hóspedes,Alojamento,hypo
Hostal,Alojamento,hypo
Albergue,Alojamento,hypo
Pousada,Alojamento,hypo
Acomodação,Alojamento,hypo
Pensão,Alojamento,hypo
Bangalô e Campismo,Alojamento,hypo
Hotel Flutuante,Alojamento,hypo
Apartamento,Alojamento,hypo
Outra hospitalidade,Alojamento,hypo
Cama e café da manhã,Alojamento,hypo
Alojamento de Férias,Alojamento,hypo
Hotel,Alojamento,hypo
Motel,Alojamento,hypo
Cidade,Endereço,hypo
Código Postal,Endereço,hypo
País,Endereço,hypo
Endereço,Endereço,hypo
Rua,Endereço,hypo
Facilidade,Facilidade,hypo
Facilidades da Casa de Banho,Facilidade,hypo
Instalação interna,Facilidade,hypo
Facilidades do Quarto,Facilidade,hypo
Acesso para Deficientes,Facilidade,hypo
Instalação externa,Facilidade,hypo
Motorista,Facilidade,hypo
Horário do Restaurante,Horário,hypo
Horário do Spa,Horário,hypo
Horário da Piscina Externa,Horário,hypo
Horário da Piscina Coberta,Horário,hypo
Horário,Horário,hypo
Monumento,Pontos de interesse,hypo
Centro comercial,Pontos de interesse,hypo
Estação de Autocarros,Pontos de interesse,hypo
Pontos de interesse,Pontos de interesse,hypo
Museu,Pontos de interesse,hypo
Igreja,Pontos de interesse,hypo
Jardins,Pontos de interesse,hypo
Centro histórico,Pontos de interesse,hypo
Arena,Pontos de interesse,hypo
Parada de Ônibus,Pontos de interesse,hypo
Parque,Pontos de interesse,hypo
Teatro,Pontos de interesse,hypo
Aeroporto,Pontos de interesse,hypo
Estádio,Pontos de interesse,hypo
Construção Histórica,Pontos de interesse,hypo
Centro da cidade,Pontos de interesse,hypo
Universidade,Pontos de interesse,hypo
Praia,Pontos de interesse,hypo
Preço,Preço,hypo
Preço do Quarto,Preço,hypo
Preço do Estacionamento,Preço,hypo
Preço do Café,Preço,hypo
Preço da Internet,Preço,hypo
Preço do Berço,Preço,hypo
Preço do Restaurante,Preço,hypo
Preço do Bar,Preço,hypo
Preço do Café da Manhã,Preço,hypo
Gerência,Quadro de Funcionários,hypo
Funcionários da Receção,Quadro de Funcionários,hypo
Porteiro,Quadro de Funcionários,hypo
Funcionários da Área de Lazer,Quadro de Funcionários,hypo
Funcionários do Bar,Quadro de Funcionários,hypo
Funcionários da Limpeza,Quadro de Funcionários,hypo
Animador,Quadro de Funcionários,hypo
Funcionários do Restaurante,Quadro de Funcionários,hypo
Funcionários da Cozinha,Quadro de Funcionários,hypo
Funcionários da Piscina,Quadro de Funcionários,hypo
Quadro de Funcionários,Quadro de Funcionários,hypo
Quarto de hotel,Quarto,hypo
Tipos de Quarto em Apartamentos,Quarto,hypo
Quarto de albergue,Quarto,hypo
Quarto,Quarto,hypo
Refeição,Refeição,hypo
Café da Manhã,Refeição,hypo
Almoço,Refeição,hypo
Jantar,Refeição,hypo
Serviço de Limpeza,Service,hypo
Babá,Service,hypo
,Service,hypo
Porteiro,Service,hypo
Serviço de Câmbio,Service,hypo
Serviço de Quarto,Service,hypo
Aluguel de Veículos,Service,hypo
Serviço de Limpeza a Seco,Service,hypo
Café da Manhã no Quarto,Service,hypo
Recepção,Service,hypo
Suite para Lua-de-mel,Service,hypo
Posto de Turismo,Service,hypo
Aluguel de Bicicletas,Service,hypo
Serviço de Check Out,Service,hypo
Transporte para o Aeroporto,Service,hypo
Casal,Tipo de hóspede,hypo
Família,Tipo de hóspede,hypo
Colega de Trabalho,Tipo de hóspede,hypo
Viajante Sozinho,Tipo de hóspede,hypo
Grupo de Amigos,Tipo de hóspede,hypo
Viajante de Negócios,Tipo de hóspede,hypo
Tipo de Hóspede,Tipo de hóspede,hypo
Alojamento,Casa de Hóspedes,hyper
Alojamento,Hostal,hyper
Alojamento,Albergue,hyper
Alojamento,Pousada,hyper
Alojamento,Acomodação,hyper
Alojamento,Pensão,hyper
