term1,term2,relation
Turismo,turista,hyper
Relação_de_custo-benefício,custo-benefício,hyper
Trabalhador,funcionários,synonym
Valet,manobrista,synonym
Pia,lavatório,synonym
Instalações_sanitárias,toalete,synonym
Hora,horário,synonym
Categoria:Ações,atendimento,temCategoria
Categoria:Comércio,atendimento,temCategoria
Categoria:Meios_de_hospedagem,albergue,temCategoria
Categoria:Tipos_de_hotéis,albergue,temCategoria
Categoria:Comportamento_sexual,motel,temCategoria
Categoria:Meios_de_hospedagem,motel,temCategoria
Categoria:Tipos_de_hotéis,motel,temCategoria
Categoria:Profissões,babá,temCategoria
Categoria:Trabalho_doméstico,babá,temCategoria
Categoria:Cuidado_infantil,babá,temCategoria
Categoria:Profissões,gerente,temCategoria
Categoria:Profissões,manobrista,temCategoria
Categoria:Profissões_relacionadas_com_transportes,motorista,temCategoria
Categoria:Profissões,porteiro,temCategoria
Polimento,aparência,hyper
Centro_de_distribuição,atendimento,none
Horário_comercial,atendimento,hyper
Qualidade_no_atendimento,atendimento,hyper
DHL,atendimento,instance
Microlins,atendimento,instance
Viva_Rio,atendimento,instance
Zendesk,atendimento,instance
Hotel,albergue,none
Pousada_(hotelaria),albergue,synonym
Albergues_sul-africanos,albergue,instance
Hoteleiro,albergue,hypo
Albergues,albergue,synonym
Hostel,albergue,synonym
Pousada_de_juventude,albergue,hyper
Toque_de_recolher,albergue,none
Hotelaria,albergue,hypo
Assistencialismo,albergue,hyper
Bairro_proletário,albergue,none
Lista_de_estalagens,albergue,synonym
Meios_de_hospedagem,albergue,hyper
Homofobia,motel,none
Hotel,motel,synonym
Hoteleiro,motel,hyper
Atração_turística,motel,none
Cama,motel,none
Numerologia,motel,none
Hotelaria,motel,hyper
Meios_de_hospedagem,motel,hyper
Drive-in,motel,none
Lençóis,motel,none
Frigobar,motel,none
Motéis,motel,synonym
Albergue,pensão,synonym
Isolamento_social,pensão,none
Casa_de_Pensão,pensão,synonym
Roupões,roupão,synonym
Escova_de_dentes,toalha,none
Ferramenta,toalha,none
Forno_de_micro-ondas,toalha,none
Toalheiro,toalha,hypo
Hostel,albergue,synonym
Ama-seca,babá,synonym
Ajudante_de_motorista,motorista,synonym
Chauffeur,motorista,synonym
Motorista_prático,motorista,synonym
Encarregado_de_portaria,porteiro,synonym
