term1,term2,relation
hotel,Alojamento,hypo
hotel,Alojamento,hypo
hotel,Hotel,hypo
hotel,Hotel cápsula,hyper
hotel,Hotel casa da árvore,hyper
hotel,Hotel de gelo,hyper
hotel,Hotel Casamata,hyper
hotel,Hotel,hyper
hotel,Hotel aquático,hyper
hotel,Hotel adega,hyper
cheirar,Facilidade do quarto,hypo
cheirar,Instalação Interna,hypo
pronto,Endereço,hypo
pronto,Endereço,hypo
pronto,Categoria de hotéis,hypo
vizinhança,Facilidade,hypo
vizinhança,Pontos de interesse,hypo
vizinhança,Pontos de interesse,hypo
vizinhança,Pontos de interesse,hypo
vizinhança,Facilidade,hyper
vizinhança,Facilidades da Casa de Banho,hyper
vizinhança,Instalação interna,hyper
vizinhança,Facilidades do Quarto,hyper
vizinhança,Acesso para Deficientes,hyper
vizinhança,Instalação externa,hyper
vizinhança,Motorista,hyper
vizinhança,Instalação Externa,hypo
champa,Endereço,hypo
champa,Endereço,hypo
champa,Facilidade,hypo
champa,Pontos de interesse,hypo
champa,Pontos de interesse,hypo
champa,Facilidade,hyper
champa,Facilidades da Casa de Banho,hyper
champa,Instalação interna,hyper
champa,Facilidades do Quarto,hyper
champa,Acesso para Deficientes,hyper
champa,Instalação externa,hyper
champa,Motorista,hyper
champa,Instalação Externa,hypo
preço,Preço,hypo
preço,Preço,hyper
preço,Preço do Quarto,hyper
preço,Preço do Estacionamento,hyper
preço,Preço do Café,hyper
preço,Preço da Internet,hyper
preço,Preço do Berço,hyper
preço,Preço do Restaurante,hyper
preço,Preço do Bar,hyper
preço,Preço do Café da Manhã,hyper
época,Endereço,hypo
época,Endereço,hypo
ópera,Facilidade,hypo
ópera,Pontos de interesse,hypo
ópera,Pontos de interesse,hypo
ópera,Pontos de interesse,hypo
ópera,Facilidade,hyper
ópera,Facilidades da Casa de Banho,hyper
ópera,Instalação interna,hyper
ópera,Facilidades do Quarto,hyper
ópera,Acesso para Deficientes,hyper
ópera,Instalação externa,hyper
ópera,Motorista,hyper
ópera,Instalação Externa,hypo
interessar,Categoria de hotéis,hypo
suíte,Tipo de hóspede,hypo
suíte,Facilidade do quarto,hypo
suíte,Facilidade do banheiro,hypo
suíte,Quarto de hotel,hypo
suíte,Casal,hypo
suíte,Casal Jovem,hyper
suíte,Casal,hyper
suíte,Casal Maduro,hyper
som,Tipo de hóspede,hypo
som,Facilidade do banheiro,hypo
som,Casal,hypo
som,Casal Jovem,hyper
som,Casal,hyper
som,Casal Maduro,hyper
banhar,Facilidade do quarto,hypo
banhar,Facilidade do banheiro,hypo
banhar,Facilidade do banheiro,hypo
banhar,Facilidade do banheiro,hypo
banhar,Instalação Interna,hypo
casar,Tipo de hóspede,hypo
casar,Família,hypo
casar,Família,hyper
casar,Família com Filhos Mais Jovens,hyper
casar,Família com Filhos Mais Velhos,hyper
casar,Família Grande,hyper
casar,Categoria de hotéis,hypo
realidade,Endereço,hypo
realidade,Endereço,hypo
quarto,Quarto,hypo
quarto,Quarto de hotel,hyper
quarto,Tipos de Quarto em Apartamentos,hyper
quarto,Quarto de albergue,hyper
quarto,Quarto,hyper
impressionar,Endereço,hypo
impressionar,Endereço,hypo
impressionar,Tipo de hóspede,hypo
impressionar,Família,hypo
impressionar,Família,hyper
impressionar,Família com Filhos Mais Jovens,hyper
impressionar,Família com Filhos Mais Velhos,hyper
impressionar,Família Grande,hyper
impressionar,Categoria de hotéis,hypo
categoria,Service,hypo
ler,Pontos de interesse,hypo
restaurante,Facilidade,hypo
restaurante,Facilidade,hyper
restaurante,Facilidades da Casa de Banho,hyper
restaurante,Instalação interna,hyper
restaurante,Facilidades do Quarto,hyper
restaurante,Acesso para Deficientes,hyper
restaurante,Instalação externa,hyper
restaurante,Motorista,hyper
restaurante,Instalação Interna,hypo
estrelo,Alojamento,hypo
estrelo,Alojamento,hypo
estrelo,Hotel,hypo
estrelo,Hotel cápsula,hyper
estrelo,Hotel casa da árvore,hyper
estrelo,Hotel de gelo,hyper
estrelo,Hotel Casamata,hyper
estrelo,Hotel,hyper
estrelo,Hotel aquático,hyper
estrelo,Hotel adega,hyper
criança,Quarto de hotel,hypo
cidade,Endereço,hypo
cidade,Endereço,hypo
cidade,Pontos de interesse,hypo
cidade,Pontos de interesse,hypo
toru,Endereço,hypo
toru,Endereço,hypo
toru,Facilidade,hypo
toru,Pontos de interesse,hypo
toru,Pontos de interesse,hypo
toru,Facilidade,hyper
toru,Facilidades da Casa de Banho,hyper
toru,Instalação interna,hyper
toru,Facilidades do Quarto,hyper
toru,Acesso para Deficientes,hyper
toru,Instalação externa,hyper
toru,Motorista,hyper
toru,Categoria de hotéis,hypo
vidar,Pontos de interesse,hypo
vidar,Pontos de interesse,hypo
vidar,Categoria de hotéis,hypo
bar,Refeição,hypo
bar,Refeição,hyper
bar,Café da Manhã,hyper
bar,Almoço,hyper
bar,Jantar,hyper
bar,Instalação Interna,hypo
detalhe,Service,hypo
detalhe,Service,hypo
recepção,Service,hypo
passeio,Endereço,hypo
passeio,Endereço,hypo
passeio,Pontos de interesse,hypo
passeio,Categoria de hotéis,hypo
quadrar,Facilidade,hypo
quadrar,Pontos de interesse,hypo
quadrar,Pontos de interesse,hypo
quadrar,Facilidade,hyper
quadrar,Facilidades da Casa de Banho,hyper
quadrar,Instalação interna,hyper
quadrar,Facilidades do Quarto,hyper
quadrar,Acesso para Deficientes,hyper
quadrar,Instalação externa,hyper
quadrar,Motorista,hyper
quadrar,Instalação Externa,hypo
a_este_hotel,Endereço,hypo
a_este_hotel,Endereço,hypo
a_este_hotel,Categoria de hotéis,hypo
luxemburgia,Facilidade,hypo
luxemburgia,Pontos de interesse,hypo
luxemburgia,Pontos de interesse,hypo
luxemburgia,Facilidade,hyper
luxemburgia,Facilidades da Casa de Banho,hyper
luxemburgia,Instalação interna,hyper
luxemburgia,Facilidades do Quarto,hyper
luxemburgia,Acesso para Deficientes,hyper
luxemburgia,Instalação externa,hyper
luxemburgia,Motorista,hyper
luxemburgia,Instalação Externa,hypo
parque,Endereço,hypo
parque,Endereço,hypo
parque,Pontos de interesse,hypo
atendimento,Alojamento,hypo
espaçar,Facilidade do quarto,hypo
espaçar,Facilidade do quarto,hypo
