term1,term2,relation
are,acomodação,synonym
are,pensão,synonym
are,apartamento,synonym
are,motel,synonym
are,rua,synonym
are,motorista,synonym
are,monumento,synonym
are,arena,synonym
are,centro_da_cidade,synonym
are,gerência,synonym
are,porteiro,synonym
are,quarto_de_hotel,synonym
are,almoço,synonym
are,serviço_de_limpeza,synonym
are,serviço_de_quarto,synonym
are,família,synonym
are,alojamento,synonym
are,service,synonym
are,cortina,synonym
are,lavatório,synonym
are,torneira,synonym
are,roupão,synonym
are,produtos_de_higiene,synonym
are,acesso_à_internet,synonym
are,berço,synonym
are,sistema_de_aquecimento,synonym
are,duplo,synonym
are,sauna,synonym
are,conforto,synonym
are,luxo,synonym
hotel,hotel,synonym
min,acomodação,synonym
min,pensão,synonym
min,motel,synonym
min,país,synonym
min,rua,synonym
min,motorista,synonym
min,monumento,synonym
min,pontos_de_interesse,synonym
min,arena,synonym
min,centro_da_cidade,synonym
min,gerência,synonym
min,porteiro,synonym
min,quarto_de_hotel,synonym
min,almoço,synonym
min,serviço_de_limpeza,synonym
min,serviço_de_quarto,synonym
min,alojamento,synonym
min,service,synonym
min,cortina,synonym
min,lavatório,synonym
min,torneira,synonym
min,produtos_de_higiene,synonym
min,acesso_à_internet,synonym
min,berço,synonym
min,sistema_de_aquecimento,synonym
min,duplo,synonym
min,sauna,synonym
min,conforto,synonym
min,luxo,synonym
tabaco,acomodação,synonym
tabaco,pensão,synonym
tabaco,apartamento,synonym
tabaco,motel,synonym
tabaco,rua,synonym
tabaco,motorista,synonym
tabaco,arena,synonym
tabaco,centro_da_cidade,synonym
tabaco,gerência,synonym
tabaco,porteiro,synonym
tabaco,quarto_de_hotel,synonym
tabaco,almoço,synonym
tabaco,serviço_de_limpeza,synonym
tabaco,serviço_de_quarto,synonym
tabaco,casal,synonym
tabaco,alojamento,synonym
tabaco,service,synonym
tabaco,cortina,synonym
tabaco,lavatório,synonym
tabaco,torneira,synonym
tabaco,roupão,synonym
tabaco,produtos_de_higiene,synonym
tabaco,acesso_à_internet,synonym
tabaco,berço,synonym
tabaco,sistema_de_aquecimento,synonym
tabaco,duplo,synonym
tabaco,suíte,synonym
tabaco,sauna,synonym
tabaco,conforto,synonym
tabaco,luxo,synonym
reputação,pensão,synonym
reputação,arena,synonym
reputação,gerência,synonym
reputação,porteiro,synonym
reputação,almoço,synonym
reputação,produtos_de_higiene,synonym
reputação,conforto,synonym
cordialidade,pensão,synonym
cordialidade,motel,synonym
cordialidade,motorista,synonym
cordialidade,arena,synonym
cordialidade,gerência,synonym
cordialidade,porteiro,synonym
cordialidade,quarto_de_hotel,synonym
cordialidade,almoço,synonym
cordialidade,berço,synonym
cordialidade,turista,synonym
cordialidade,conforto,synonym
pronto,pensão,synonym
pronto,arena,synonym
pronto,gerência,synonym
pronto,porteiro,synonym
pronto,quarto_de_hotel,synonym
pronto,almoço,synonym
pronto,serviço_de_quarto,synonym
pronto,cortina,synonym
pronto,lavatório,synonym
pronto,torneira,synonym
pronto,produtos_de_higiene,synonym
pronto,acesso_à_internet,synonym
pronto,berço,synonym
pronto,sistema_de_aquecimento,synonym
pronto,sauna,synonym
pronto,conforto,synonym
vizinhança,monumento,synonym
vizinhança,igreja,synonym
vizinhança,parque,synonym
preço,preço,synonym
época,berço,synonym
lugar,país,synonym
lugar,rua,synonym
lugar,monumento,synonym
lugar,pontos_de_interesse,synonym
lugar,centro_da_cidade,synonym
interessar,país,synonym
interessar,porteiro,synonym
interessar,turista,synonym
suíte,pensão,synonym
suíte,apartamento,synonym
suíte,serviço_de_limpeza,synonym
suíte,serviço_de_quarto,synonym
suíte,casal,synonym
suíte,colchão,synonym
suíte,espelho,synonym
suíte,cortina,synonym
suíte,lavatório,synonym
suíte,torneira,synonym
suíte,roupão,synonym
suíte,produtos_de_higiene,synonym
suíte,casa_de_banho,synonym
suíte,sistema_de_aquecimento,synonym
suíte,duplo,synonym
suíte,suíte,synonym
suíte,sauna,synonym
