term1,term2,relation
hotel,acomodação,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
hotel,hotel,synonym
cheirar,colchão,synonym
cheirar,corredor,synonym
pronto,país,synonym
pronto,país,synonym
pronto,turista,synonym
vizinhança,facilidade,synonym
vizinhança,museu,synonym
vizinhança,igreja,synonym
vizinhança,teatro,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,facilidade,synonym
vizinhança,jardim,synonym
champa,cidade,synonym
champa,cidade,synonym
champa,facilidade,synonym
champa,museu,synonym
champa,igreja,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,facilidade,synonym
champa,jardim,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
preço,preço,synonym
época,país,synonym
época,país,synonym
ópera,facilidade,synonym
ópera,museu,synonym
ópera,igreja,synonym
ópera,teatro,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,facilidade,synonym
ópera,jardim,synonym
interessar,turista,synonym
suíte,casal,synonym
suíte,travesseiro,synonym
suíte,casa_de_banho,synonym
suíte,suíte,synonym
suíte,casal,synonym
suíte,casal,synonym
suíte,casal,synonym
suíte,casal,synonym
som,casal,synonym
som,casa_de_banho,synonym
som,casal,synonym
som,casal,synonym
som,casal,synonym
som,casal,synonym
banhar,colchão,synonym
banhar,chuveiro,synonym
banhar,banheira,synonym
banhar,toalha,synonym
banhar,banheiro,synonym
casar,família,synonym
casar,família,synonym
casar,família,synonym
casar,família,synonym
casar,família,synonym
casar,família,synonym
casar,turista,synonym
realidade,país,synonym
realidade,país,synonym
quarto,quarto,synonym
quarto,quarto,synonym
quarto,quarto,synonym
quarto,quarto,synonym
quarto,quarto,synonym
impressionar,país,synonym
impressionar,país,synonym
impressionar,família,synonym
impressionar,família,synonym
impressionar,família,synonym
impressionar,família,synonym
impressionar,família,synonym
impressionar,família,synonym
impressionar,turista,synonym
categoria,serviço_de_quarto,synonym
ler,museu,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,facilidade,synonym
restaurante,restaurante,synonym
estrelo,acomodação,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
estrelo,hotel,synonym
criança,suíte,synonym
cidade,cidade,synonym
cidade,cidade,synonym
cidade,museu,synonym
cidade,parque,synonym
toru,cidade,synonym
toru,cidade,synonym
toru,facilidade,synonym
toru,museu,synonym
toru,igreja,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,facilidade,synonym
toru,turista,synonym
vidar,museu,synonym
vidar,igreja,synonym
vidar,turista,synonym
bar,refeição,synonym
bar,refeição,synonym
bar,refeição,synonym
bar,refeição,synonym
bar,refeição,synonym
bar,restaurante,synonym
detalhe,serviço_de_limpeza,synonym
detalhe,serviço_de_quarto,synonym
recepção,recepção,synonym
passeio,país,synonym
passeio,país,synonym
passeio,igreja,synonym
passeio,turista,synonym
quadrar,facilidade,synonym
quadrar,museu,synonym
quadrar,teatro,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,facilidade,synonym
quadrar,jardim,synonym
a_este_hotel,país,synonym
a_este_hotel,país,synonym
a_este_hotel,turista,synonym
luxemburgia,facilidade,synonym
luxemburgia,museu,synonym
luxemburgia,igreja,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,facilidade,synonym
luxemburgia,jardim,synonym
parque,cidade,synonym
parque,cidade,synonym
parque,parque,synonym
atendimento,acomodação,synonym
espaçar,cama,synonym
espaçar,travesseiro,synonym
espaçar,colchão,synonym
espaçar,chuveiro,synonym
espaçar,banheira,synonym
espaçar,casa_de_banho,synonym
espaçar,banheiro,synonym
banheiro,cama,synonym
banheiro,chuveiro,synonym
banheiro,banheira,synonym
banheiro,banheiro,synonym
iluminação,travesseiro,synonym
iluminação,colchão,synonym
iluminação,toalha,synonym
iluminação,casa_de_banho,synonym
confortar,acomodação,synonym
confortar,quarto,synonym
confortar,quarto,synonym
confortar,quarto,synonym
confortar,quarto,synonym
confortar,quarto,synonym
facilidade,facilidade,synonym
facilidade,museu,synonym
facilidade,igreja,synonym
facilidade,teatro,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,facilidade,synonym
facilidade,jardim,synonym
facilidade,restaurante,synonym
jardim,facilidade,synonym
jardim,museu,synonym
jardim,igreja,synonym
jardim,teatro,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,facilidade,synonym
jardim,jardim,synonym
pequeno,país,synonym
pequeno,país,synonym
pequeno,serviço_de_quarto,synonym
maravilhoso,país,synonym
maravilhoso,país,synonym
maravilhoso,turista,synonym
padaria,facilidade,synonym
padaria,museu,synonym
padaria,teatro,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,facilidade,synonym
padaria,jardim,synonym
padaria,restaurante,synonym
distância,cidade,synonym
distância,cidade,synonym
distância,facilidade,synonym
distância,museu,synonym
distância,igreja,synonym
distância,teatro,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,facilidade,synonym
distância,jardim,synonym
quarteirão,facilidade,synonym
quarteirão,museu,synonym
quarteirão,igreja,synonym
quarteirão,teatro,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,facilidade,synonym
quarteirão,jardim,synonym
apartamento,apartamento,synonym
elevador,elevador,synonym
elevador,escada,synonym
excelente,país,synonym
excelente,país,synonym
excelente,serviço_de_quarto,synonym
excelente,turista,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,museu,synonym
estações_de_metro,igreja,synonym
estações_de_metro,teatro,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,facilidade,synonym
estações_de_metro,jardim,synonym
canal,serviço_de_limpeza,synonym
canal,casa_de_banho,synonym
canal,lavanderia,synonym
canal,lavanderia,synonym
canal,lavanderia,synonym
canal,lavanderia,synonym
canal,lavanderia,synonym
duchar,cama,synonym
duchar,travesseiro,synonym
duchar,chuveiro,synonym
duchar,banheira,synonym
duchar,banheiro,synonym
localização,acomodação,synonym
mercar,restaurante,synonym
vinho,refeição,synonym
vinho,refeição,synonym
vinho,refeição,synonym
vinho,refeição,synonym
vinho,refeição,synonym
vinho,lavanderia,synonym
vinho,lavanderia,synonym
vinho,lavanderia,synonym
vinho,lavanderia,synonym
vinho,lavanderia,synonym
arar,serviço_de_limpeza,synonym
arar,serviço_de_quarto,synonym
arar,lavanderia,synonym
arar,lavanderia,synonym
arar,lavanderia,synonym
arar,lavanderia,synonym
arar,lavanderia,synonym
atracão,país,synonym
atracão,país,synonym
atracão,igreja,synonym
atracão,turista,synonym
mesa,colchão,synonym
mesa,toalha,synonym
variedade,café_da_manhã,synonym
malo,corredor,synonym
malo,escada,synonym
família,família,synonym
família,família,synonym
família,família,synonym
família,família,synonym
família,família,synonym
família,família,synonym
charme,facilidade,synonym
charme,igreja,synonym
